SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Floors,Windows,PreviousSalePrice
559.86,3.0,3.0,216.52,26.86,8.0,105.43,26.73,89.37,0.53,4.0,8.0,7.0,1.0,25.0,218166.8716
613.33,3.0,4.0,970.35,21.63,8.0,106.31,6.59,94.72,1.51,9.0,5.0,4.0,1.0,10.0,351520.3975
956.85,1.0,2.0,517.38,8.61,6.0,75.24,6.85,97.72,0.81,8.0,9.0,5.0,1.0,7.0,117395.2248
1272.98,1.0,1.0,439.48,44.4,4.0,104.43,10.51,92.81,1.99,3.0,3.0,6.0,1.0,25.0,85252.91224
550.0,2.0,2.0,385.94,36.21,6.0,22.54,21.49,99.33,1.0,3.0,1.0,2.0,1.0,9.0,88964.78316
917.29,1.0,2.0,369.9,31.68,9.0,71.93,12.41,93.45,1.05,6.0,8.0,6.0,1.0,13.0,240002.0467
855.78,4.0,3.0,259.1,27.56,10.0,37.31,0.36,95.34,2.03,8.0,5.0,9.0,1.0,8.0,365041.9367
843.57,1.0,2.0,540.72,47.61,6.0,66.24,32.61,90.69,1.19,6.0,10.0,8.0,1.0,33.5,56464.73526
1382.24,2.0,2.0,42.32,25.82,7.0,3.68,23.02,93.94,1.26,8.0,10.0,9.0,1.0,21.0,316757.8728
965.69,3.0,4.0,657.99,55.69,8.0,83.45,13.75,98.09,2.33,5.0,9.0,8.0,1.0,9.0,495897.6888
550.0,2.0,2.0,310.34,27.04,3.0,50.77,31.43,92.0,2.1,6.0,8.0,8.0,1.0,8.0,18197.85811
1117.95,2.0,3.0,605.64,11.89,9.0,12.49,4.12,99.9,2.39,6.0,6.0,3.0,1.0,16.0,360823.0107
550.0,2.0,2.0,446.16,10.26,5.0,10.29,3.38,91.27,1.61,5.0,4.0,5.0,1.0,20.0,219944.2444
995.76,2.0,2.0,132.59,48.1,7.0,33.69,1.58,99.9,1.61,9.0,6.0,6.0,1.0,13.0,306216.8371
1312.94,1.0,4.0,365.39,3.88,9.0,38.57,17.1,94.84,0.68,7.0,6.0,6.0,1.0,17.0,378618.9225
1226.9,2.0,4.0,124.54,46.35,9.0,64.92,5.67,91.71,1.66,7.0,6.0,6.0,1.0,29.0,460691.5568
930.04,4.0,3.0,340.51,6.47,5.0,10.78,23.54,95.29,0.82,5.0,8.0,6.0,1.0,18.0,389573.4498
1460.44,3.0,4.0,169.38,35.64,10.0,61.51,2.86,89.93,1.07,9.0,10.0,8.0,1.0,6.0,412197.5262
603.88,3.0,3.0,663.77,49.29,10.0,58.78,5.71,99.9,1.67,6.0,3.0,4.0,1.0,6.0,168635.6435
843.94,3.0,2.0,687.64,0.18,9.0,69.9,14.57,96.94,1.49,3.0,7.0,6.0,1.0,11.0,148312.0712
625.65,2.0,2.0,685.97,40.4,9.0,27.11,25.94,96.55,1.41,6.0,5.0,4.0,1.0,23.0,109606.2878
550.0,2.0,3.0,274.94,36.12,6.0,45.06,0.59,97.96,1.33,3.0,4.0,4.0,1.0,21.0,149754.6459
629.62,1.0,4.0,40.7,41.63,4.0,101.05,16.54,90.57,2.15,2.0,6.0,7.0,1.0,15.0,18211.81356
1452.3,3.0,3.0,433.51,45.29,6.0,46.3,12.0,89.47,1.94,6.0,1.0,3.0,1.0,19.0,402262.4583
731.56,1.0,3.0,1104.37,13.16,7.0,30.99,49.6,94.38,1.18,3.0,8.0,6.0,1.0,18.0,61498.245
1639.69,1.0,4.0,432.74,37.29,7.0,56.46,43.37,93.84,0.96,5.0,5.0,8.0,1.0,10.0,307318.9067
1178.14,3.0,3.0,408.17,64.52,6.0,29.01,22.72,88.16,1.12,5.0,10.0,10.0,1.0,19.0,218103.8605
665.49,1.0,2.0,98.19,49.37,7.0,79.69,18.46,99.9,2.07,3.0,4.0,5.0,1.0,16.0,38016.2341
1468.73,3.0,2.0,488.45,61.96,6.0,9.26,15.54,93.44,0.94,8.0,5.0,6.0,1.0,15.0,262529.0227
1637.03,2.0,4.0,72.67,20.51,9.0,76.25,1.86,80.74,1.15,3.0,3.0,6.0,1.0,7.0,369630.9571
1613.59,3.0,3.0,598.58,35.29,7.0,51.99,1.64,99.9,2.43,8.0,3.0,5.0,1.0,27.0,423395.8775
554.51,2.0,5.0,663.26,57.12,8.0,56.22,31.31,93.71,1.26,6.0,6.0,2.0,1.0,33.0,491294.4599
660.8,1.0,2.0,221.21,33.27,6.0,92.32,12.74,91.38,2.5,6.0,3.0,5.0,1.0,21.0,10472.29772
550.0,3.0,2.0,938.59,32.45,8.0,14.3,15.94,98.03,0.58,6.0,8.0,7.0,1.0,14.0,237288.4588
1320.57,2.0,3.0,916.17,28.32,6.0,90.86,12.79,90.49,2.31,8.0,10.0,10.0,1.0,19.0,363994.8413
1761.01,2.0,2.0,453.55,37.47,7.0,19.79,31.34,96.28,1.69,6.0,8.0,8.0,1.0,6.0,478954.7229
550.0,1.0,4.0,447.05,34.96,6.0,2.39,4.72,83.56,1.25,1.0,2.0,6.0,1.0,10.0,74706.66901
697.21,1.0,4.0,551.48,35.19,5.0,46.19,6.19,99.9,1.62,6.0,4.0,5.0,1.0,9.0,297672.5866
550.0,1.0,2.0,1021.63,17.49,5.0,51.14,14.06,88.45,1.46,1.0,10.0,10.0,1.0,18.0,60428.82362
834.66,1.0,2.0,422.04,31.59,7.0,86.36,12.31,99.9,1.55,6.0,10.0,6.0,1.0,22.0,18948.92783
550.0,3.0,1.0,336.71,65.43,6.0,2.48,11.07,81.06,2.54,3.0,4.0,5.0,1.0,11.0,140274.0193
550.0,3.0,4.0,421.2,9.06,4.0,40.52,30.66,97.73,1.87,4.0,8.0,7.0,1.0,18.0,188859.3625
550.0,1.0,2.0,313.87,44.52,3.0,47.17,51.165000000000006,87.42,1.8,2.0,4.0,3.0,1.0,12.0,133689.378
1158.81,1.0,5.0,367.32,55.44,8.0,89.44,1.83,97.35,1.74,5.0,7.0,9.0,1.0,15.0,365551.5933
760.03,4.0,5.0,591.83,0.98,8.0,57.29,13.43,86.52,0.73,4.0,9.0,6.0,1.0,16.0,435630.4415
1314.29,3.0,2.0,614.58,7.08,10.0,37.32,4.14,96.16,1.83,9.0,5.0,7.0,1.0,18.0,414714.8725
1010.25,3.0,3.0,587.34,0.27,9.0,23.44,15.24,86.92,1.87,4.0,8.0,7.0,1.0,17.0,243405.329
1487.0,1.0,4.0,806.68,31.53,9.0,35.92,3.82,94.64,1.95,6.0,9.0,9.0,1.0,13.0,284204.8479
1647.88,1.0,3.0,605.78,39.02,6.0,81.17,0.09,96.84,0.93,4.0,2.0,4.0,1.0,7.0,235491.2989
798.62,1.0,3.0,427.58,21.84,7.0,15.09,15.81,99.9,1.36,5.0,8.0,5.0,1.0,26.0,116878.8952
1136.5,1.0,4.0,257.18,40.28,7.0,61.91,32.5,89.74,1.07,5.0,4.0,2.0,1.0,22.0,309699.5492
1313.81,1.0,3.0,587.36,47.02,5.0,45.43,25.64,92.97,1.31,5.0,6.0,4.0,1.0,6.0,264548.7689
1658.09,2.0,2.0,1082.73,25.08,7.0,50.07,10.62,93.34,1.53,6.0,5.0,5.0,1.0,16.0,242201.1299
561.99,1.0,3.0,599.31,16.54,5.0,14.64,35.88,92.88,2.51,4.0,4.0,7.0,1.0,16.0,27083.35982
975.2,3.0,3.0,505.11,16.78,7.0,7.75,23.13,92.96,1.51,6.0,7.0,10.0,1.0,13.0,258077.3299
1830.94,2.0,1.0,446.63,2.24,9.0,0.5,9.03,97.0,1.78,6.0,10.0,8.0,1.0,15.0,215721.5195
550.0,3.0,5.0,687.77,48.87,8.0,64.67,4.74,96.07,1.01,6.0,7.0,7.0,1.0,10.0,449834.0884
550.0,1.0,3.0,1125.5,16.1,7.0,61.05,29.19,92.54,1.67,5.0,8.0,5.0,1.0,33.5,73537.8521
1070.82,2.0,3.0,914.35,39.25,5.0,63.35,45.25,94.48,0.9,3.0,6.0,6.0,1.0,18.0,19341.66737
646.13,2.0,3.0,573.88,9.66,7.0,71.64,23.97,95.35,1.47,3.0,2.0,4.0,1.0,16.0,159602.6435
550.0,4.0,3.0,362.83,7.87,9.0,12.4,28.47,88.43,1.37,7.0,3.0,6.0,1.0,14.0,402759.8785
1663.19,5.0,1.0,676.05,35.23,8.0,44.79,2.56,98.73,0.81,7.0,4.0,9.0,1.0,33.5,472001.8823
2273.01,3.0,4.0,655.18,7.47,8.0,98.28,8.94,95.49,1.56,4.0,4.0,8.0,1.0,22.0,777690.5729624999
967.51,2.0,3.0,204.59,22.47,10.0,0.53,20.39,98.13,2.35,7.0,9.0,9.0,1.0,7.0,119207.6603
1230.02,2.0,3.0,243.32,8.16,7.0,17.5,35.5,94.77,1.4,6.0,3.0,7.0,1.0,16.0,283726.8954
1027.16,2.0,4.0,1154.71,49.78,6.0,1.11,28.55,92.96,1.2,5.0,6.0,6.0,1.0,13.0,499160.6854
784.31,2.0,3.0,1012.43,37.14,7.0,54.89,6.54,89.89,2.03,7.0,9.0,8.0,1.0,13.0,330777.6192
1417.73,2.0,4.0,1065.12,8.17,10.0,34.59,9.83,99.9,0.61,7.0,6.0,7.0,1.0,15.0,575272.0985
860.64,3.0,4.0,525.55,7.69,6.0,49.1,38.03,92.46,2.13,4.0,7.0,5.0,1.0,33.5,324320.6172
1116.26,3.0,2.0,661.39,67.66,3.0,15.67,32.82,95.02,1.73,4.0,1.0,5.0,1.0,19.0,310274.7003
949.45,5.0,3.0,540.27,10.59,9.0,1.02,13.61,91.92,1.36,5.0,4.0,4.0,1.0,28.0,394186.5428
1424.81,5.0,1.0,395.86,52.83,5.0,82.92,3.18,87.96,1.19,4.0,9.0,3.0,1.0,13.0,260575.4925
550.0,3.0,4.0,696.95,43.1,8.0,58.71,19.56,88.64,1.26,5.0,6.0,6.0,1.0,33.5,350200.3367
550.0,1.0,3.0,545.0,37.37,6.0,59.08,51.165000000000006,99.9,1.25,3.0,2.0,9.0,1.0,10.0,221969.6997
695.79,3.0,2.0,83.24,47.32,6.0,47.77,7.97,93.74,1.44,4.0,4.0,4.0,1.0,6.0,79052.54416
550.0,1.0,4.0,272.49,13.99,5.0,133.32,43.51,96.64,2.66,2.0,2.0,5.0,1.0,9.0,132745.7894
1164.7,2.0,1.0,444.84,35.25,5.0,41.21,39.52,99.37,1.84,5.0,4.0,2.0,1.0,18.0,130220.5122
684.72,1.0,4.0,783.95,49.92,7.0,14.47,14.25,88.53,0.87,5.0,4.0,10.0,1.0,22.0,461293.6931
1381.83,2.0,3.0,768.86,6.93,8.0,38.1,2.17,96.32,1.69,8.0,7.0,6.0,1.0,15.0,431628.5128
1280.56,1.0,2.0,672.56,47.69,4.0,91.08,9.84,86.83,1.59,3.0,7.0,5.0,1.0,12.0,128271.4952
762.18,2.0,4.0,774.24,7.18,6.0,19.36,8.24,91.16,1.78,6.0,5.0,3.0,1.0,28.0,345503.2885
1125.41,3.0,2.0,708.78,55.35,7.0,5.39,34.98,94.68,1.45,6.0,7.0,4.0,1.0,10.0,236832.6297
763.68,3.0,3.0,769.51,25.94,7.0,2.8,10.0,90.33,1.57,4.0,3.0,6.0,1.0,5.0,359935.2467
1750.04,2.0,3.0,362.73,22.58,7.0,62.1,32.02,93.01,1.15,5.0,3.0,3.0,1.0,21.0,429400.9942
984.01,2.0,2.0,671.11,24.57,9.0,1.37,4.94,95.48,0.86,3.0,5.0,7.0,1.0,21.0,266930.1908
1314.1,3.0,4.0,1209.42,31.21,6.0,16.76,12.12,88.17,1.4,4.0,6.0,8.0,1.0,8.0,479006.0791
1074.52,1.0,3.0,76.99,76.47,7.0,1.46,43.07,93.5,1.14,2.0,1.0,4.0,1.0,16.0,215872.9861
1631.08,2.0,2.0,670.06,14.35,9.0,18.32,7.86,99.9,1.01,7.0,7.0,7.0,1.0,20.0,318434.4488
724.62,3.0,3.0,864.6,57.98,6.0,34.53,14.92,94.17,1.26,7.0,8.0,9.0,1.0,18.0,330812.6765
827.92,1.0,3.0,10.11,27.52,7.0,102.34,31.17,98.46,0.78,5.0,8.0,6.0,1.0,33.5,227409.7713
1772.95,2.0,2.0,672.62,69.11,4.0,45.39,34.94,91.68,2.05,4.0,9.0,6.0,1.0,25.0,269083.2727
550.0,2.0,3.0,183.94,37.1,7.0,67.96,41.71,99.9,1.93,2.0,10.0,7.0,1.0,17.0,155731.237
808.49,3.0,4.0,1106.11,2.8,8.0,12.72,15.05,94.03,1.42,6.0,4.0,6.0,1.0,6.0,384202.5826
1421.49,3.0,4.0,1145.54,5.94,10.0,62.74,3.17,92.67,1.45,6.0,6.0,8.0,1.0,28.0,777690.5729624999
550.0,4.0,1.0,714.65,32.36,4.0,14.14,17.34,95.25,1.88,5.0,6.0,7.0,1.0,18.0,36617.13028
550.0,2.0,2.0,946.35,30.7,7.0,0.16,33.0,99.9,1.97,6.0,5.0,7.0,1.0,16.0,52003.69895
1119.83,3.0,3.0,122.95,46.48,7.0,41.72,0.79,89.64,1.09,9.0,1.0,4.0,1.0,18.0,549893.9634
550.0,2.0,4.0,315.89,25.03,7.0,79.71,12.57,93.73,1.75,4.0,9.0,7.0,1.0,11.0,293829.5694
550.0,4.0,3.0,671.1,37.65,9.0,51.43,36.45,99.9,1.01,8.0,7.0,6.0,1.0,33.5,254636.9307
1359.56,2.0,3.0,269.28,19.82,8.0,95.4,4.78,89.82,1.53,6.0,9.0,7.0,1.0,12.0,377520.7734
550.0,1.0,5.0,222.26,64.69,7.0,49.18,17.88,92.13,2.02,1.0,9.0,6.0,1.0,7.0,230585.9273
1557.12,3.0,3.0,676.26,43.55,6.0,17.71,10.06,87.92,1.19,4.0,9.0,8.0,1.0,15.0,438749.0163
1488.9,2.0,4.0,734.17,49.2,8.0,21.5,9.96,91.53,1.52,7.0,2.0,5.0,1.0,16.0,479639.0619
604.96,4.0,1.0,511.42,36.02,6.0,47.66,2.78,92.78,2.12,6.0,2.0,6.0,1.0,1.0,91640.00098
689.64,3.0,3.0,459.57,34.24,6.0,15.41,5.49,94.29,1.28,5.0,7.0,4.0,1.0,14.0,298325.0741
1283.06,2.0,3.0,108.24,51.64,8.0,50.41,5.6,91.4,1.94,5.0,5.0,7.0,1.0,21.0,255199.7603
550.0,1.0,4.0,672.37,44.25,9.0,32.3,11.91,96.5,1.66,2.0,4.0,5.0,1.0,16.0,84620.08278
1771.64,1.0,2.0,355.7,44.15,9.0,3.15,4.71,99.18,1.9,8.0,8.0,8.0,1.0,10.0,267253.9678
900.27,4.0,5.0,199.73,20.22,8.0,48.95,4.32,92.82,2.22,9.0,10.0,9.0,1.0,16.0,478849.8809
1313.46,2.0,3.0,437.19,29.65,9.0,26.6,3.18,90.04,1.33,6.0,8.0,8.0,1.0,24.0,253150.9941
1814.66,2.0,5.0,433.52,36.34,10.0,14.37,18.72,90.0,1.28,5.0,7.0,3.0,1.0,30.0,515203.1336
785.66,2.0,4.0,202.36,1.52,9.0,76.79,13.36,89.5,1.26,3.0,6.0,6.0,1.0,33.5,276838.2444
955.53,2.0,4.0,551.57,40.47,8.0,129.1,15.78,99.9,1.61,5.0,7.0,2.0,1.0,10.0,337922.5119
1811.82,2.0,4.0,423.66,25.14,8.0,31.67,9.98,99.06,2.13,5.0,6.0,9.0,1.0,25.0,450738.5086
1501.09,3.0,2.0,103.56,63.79,8.0,57.21,9.92,92.79,1.04,3.0,2.0,3.0,1.0,5.0,209483.7264
1030.86,1.0,5.0,64.67,42.58,10.0,36.79,39.14,87.08,2.11,6.0,7.0,2.0,1.0,22.0,257113.1606
550.0,2.0,2.0,259.82,52.52,5.0,124.21,51.165000000000006,92.94,1.99,1.0,6.0,3.0,1.0,24.0,208000.613
550.0,3.0,2.0,912.03,39.76,5.0,96.86,20.21,97.94,1.33,7.0,6.0,7.0,1.0,22.0,102459.7875
1487.78,1.0,3.0,241.84,19.82,9.0,7.82,11.6,99.9,1.65,6.0,6.0,7.0,1.0,19.0,295256.5831
1550.51,2.0,1.0,148.42,12.28,6.0,3.63,0.38,95.53,1.47,5.0,5.0,6.0,1.0,18.0,170877.0263
873.55,1.0,3.0,481.13,60.73,5.0,10.23,12.46,96.94,1.76,5.0,9.0,6.0,1.0,16.0,377162.1303
550.0,4.0,4.0,345.02,37.23,7.0,52.51,31.66,93.75,2.04,3.0,3.0,4.0,1.0,8.0,170401.6724
1604.68,1.0,3.0,336.98,37.45,7.0,88.13,13.4,94.47,1.56,6.0,7.0,4.0,1.0,19.0,264346.5566
1328.23,2.0,4.0,782.75,20.34,8.0,23.34,11.2,89.14,1.7,5.0,4.0,9.0,1.0,20.0,707527.637
917.46,1.0,3.0,67.71,40.24,6.0,25.57,42.12,86.85,0.79,3.0,1.0,6.0,1.0,29.0,164048.5827
1451.42,3.0,2.0,414.73,50.98,6.0,7.24,14.36,87.79,1.43,3.0,10.0,6.0,1.0,5.0,558252.0006
550.0,1.0,2.0,1129.59,33.31,5.0,137.10750000000002,40.53,92.32,1.35,3.0,4.0,5.0,1.0,28.0,118040.6465
550.0,2.0,3.0,140.94,24.9,8.0,31.11,24.4,95.55,1.73,5.0,5.0,5.0,1.0,7.0,44002.73589
550.0,1.0,1.0,479.64,56.61,6.0,40.38,20.65,90.28,1.37,4.0,4.0,2.0,1.0,18.0,256426.9247
1612.72,2.0,3.0,1308.7725,43.94,9.0,13.92,1.02,99.78,0.69,9.0,3.0,7.0,1.0,15.0,503324.3122
587.12,2.0,2.0,786.47,24.81,4.0,41.03,25.54,92.74,1.1,3.0,9.0,6.0,1.0,15.0,82855.67298
1073.25,1.0,4.0,843.34,25.57,6.0,47.62,31.67,95.85,1.43,3.0,1.0,4.0,1.0,9.0,127059.2758
550.0,3.0,4.0,445.98,55.22,9.0,17.84,7.37,96.91,1.72,6.0,1.0,5.0,1.0,14.0,321653.8463
943.97,1.0,3.0,513.09,5.9,3.0,9.26,21.96,92.72,1.26,4.0,8.0,9.0,1.0,5.0,342882.0907
710.29,1.0,4.0,588.34,43.08,8.0,63.61,8.06,98.34,1.53,4.0,7.0,6.0,1.0,13.0,53172.54135
550.0,1.0,1.0,284.75,30.09,6.0,54.36,26.36,99.36,1.33,3.0,5.0,4.0,1.0,33.5,5909.443301
550.0,5.0,5.0,318.62,68.03,6.0,65.19,27.93,87.57,2.06,4.0,8.0,10.0,1.0,15.0,652095.3436
1018.91,2.0,4.0,154.35,60.65,4.0,95.59,35.1,96.77,1.34,3.0,4.0,6.0,1.0,11.0,140059.7426
1406.63,1.0,3.0,68.52,34.58,7.0,33.31,4.0,89.65,0.94,5.0,2.0,6.0,1.0,33.5,425481.1935
601.5,2.0,2.0,422.68,57.05,5.0,11.18,38.12,87.12,1.31,1.0,3.0,6.0,1.0,14.0,155959.03
790.34,1.0,1.0,196.86,7.03,8.0,42.96,0.54,94.26,1.61,5.0,9.0,7.0,1.0,24.0,196869.0143
1426.81,2.0,2.0,573.88,56.06,8.0,0.84,6.24,99.48,0.93,5.0,9.0,9.0,1.0,33.5,323736.1922
680.49,2.0,2.0,568.21,24.67,10.0,71.73,0.43,89.1,1.62,5.0,7.0,6.0,1.0,21.0,141064.1893
713.07,1.0,1.0,845.74,5.94,6.0,11.88,15.63,92.62,1.55,3.0,3.0,6.0,1.0,19.0,284824.9774
1622.71,2.0,3.0,251.59,44.47,7.0,48.27,7.95,91.04,1.43,5.0,5.0,8.0,1.0,17.0,549016.7138
1217.68,4.0,4.0,407.63,34.18,7.0,100.17,1.38,99.9,1.52,7.0,7.0,8.0,1.0,6.0,612626.2821
550.0,2.0,4.0,75.84,18.01,8.0,86.92,10.32,96.12,2.4,3.0,9.0,5.0,1.0,22.0,68689.18281
550.0,3.0,3.0,556.16,13.0,8.0,61.36,1.59,88.51,1.16,9.0,9.0,8.0,1.0,14.0,360621.7399
984.08,5.0,2.0,731.79,37.81,6.0,70.55,3.22,88.74,0.82,6.0,6.0,6.0,1.0,25.0,387826.079
795.11,5.0,4.0,892.19,24.73,9.0,55.03,17.04,98.02,0.87,6.0,5.0,6.0,1.0,8.0,504373.6156
1084.84,2.0,3.0,644.13,43.47,6.0,23.27,11.83,94.36,0.81,6.0,9.0,6.0,1.0,33.5,482427.0707
1327.51,2.0,4.0,1132.4,15.69,10.0,16.16,1.34,99.9,1.58,6.0,5.0,4.0,1.0,16.0,281191.9831
550.0,2.0,3.0,297.04,20.47,9.0,60.46,9.02,91.46,1.16,4.0,5.0,5.0,1.0,22.0,7285.421018
796.53,1.0,4.0,591.0,59.31,7.0,33.72,39.29,99.9,1.01,7.0,10.0,9.0,1.0,18.0,310892.5964
1836.82,2.0,2.0,65.31,1.41,7.0,87.98,41.74,95.37,1.37,5.0,1.0,2.0,1.0,21.0,200966.1803
550.0,2.0,3.0,461.72,3.2,6.0,3.78,3.88,85.83,1.64,1.0,9.0,7.0,1.0,14.0,179701.3624
897.47,1.0,3.0,112.36,46.24,6.0,48.85,9.88,97.7,1.91,2.0,3.0,8.0,1.0,13.0,85924.57459
1496.53,1.0,5.0,249.92,17.41,7.0,12.95,28.46,87.78,1.73,6.0,5.0,4.0,1.0,17.0,456520.3289
1114.36,5.0,2.0,505.49,26.67,7.0,37.75,19.23,99.9,1.53,4.0,6.0,8.0,1.0,20.0,414937.2676
1380.55,1.0,3.0,196.27,54.97,7.0,40.3,10.71,91.24,1.86,2.0,4.0,2.0,1.0,16.0,282008.4762
696.5,3.0,2.0,681.04,32.57,5.0,32.07,9.61,88.69,1.82,5.0,8.0,6.0,1.0,2.0,348814.7384
1214.95,3.0,4.0,343.64,12.32,10.0,39.58,10.74,99.9,2.08,7.0,10.0,9.0,1.0,20.0,398482.9534
550.0,1.0,3.0,521.43,53.48,5.0,46.9,20.44,88.9,2.01,2.0,7.0,6.0,1.0,13.0,1937.573978
986.38,1.0,2.0,72.66,49.75,9.0,58.57,27.96,97.75,0.27,5.0,5.0,4.0,1.0,33.0,87005.20553
1838.9,2.0,3.0,510.38,25.36,8.0,65.43,16.96,92.56,1.04,8.0,1.0,2.0,1.0,10.0,475354.4819
1629.25,4.0,2.0,598.66,33.97,9.0,34.31,20.91,99.9,1.98,7.0,9.0,4.0,1.0,11.0,326245.639
1140.21,3.0,4.0,964.32,11.2,7.0,40.99,6.79,90.45,1.62,5.0,9.0,9.0,1.0,18.0,549372.3287
550.0,2.0,1.0,184.95,42.87,5.0,79.8,26.56,88.51,1.9,3.0,3.0,6.0,1.0,15.0,125585.4861
1256.39,3.0,4.0,592.6,24.11,7.0,49.84,23.73,97.9,1.07,6.0,6.0,4.0,1.0,25.0,506266.7364
1263.08,2.0,4.0,907.5,26.35,8.0,81.52,29.64,94.76,1.46,6.0,4.0,3.0,1.0,21.0,539869.4181
1016.62,1.0,3.0,540.36,22.6,8.0,101.67,17.39,99.9,2.7,5.0,4.0,7.0,1.0,7.0,148042.7408
896.2,1.0,2.0,944.12,49.62,5.0,96.11,8.45,99.9,1.34,4.0,3.0,8.0,1.0,22.0,142914.8129
717.52,1.0,3.0,706.84,3.49,3.0,30.85,6.98,84.54,2.15,2.0,6.0,4.0,1.0,16.0,169868.8019
1116.57,1.0,3.0,378.34,65.58,6.0,34.19,25.33,94.32,0.67,2.0,4.0,2.0,1.0,21.0,131213.4331
1039.02,1.0,1.0,1059.02,42.36,6.0,23.49,24.72,95.35,1.23,4.0,5.0,6.0,1.0,15.0,55621.11148
1092.1,4.0,2.0,671.69,36.74,7.0,8.79,25.3,99.9,0.97,5.0,1.0,5.0,1.0,16.0,322533.4323
1379.4,2.0,1.0,39.47,38.54,4.0,36.29,24.7,92.66,1.43,4.0,7.0,6.0,1.0,8.0,219080.4787
1139.91,1.0,2.0,256.02,20.86,7.0,106.9,29.96,93.6,1.12,5.0,6.0,7.0,1.0,15.0,174467.6482
1609.6,2.0,3.0,963.22,31.99,7.0,45.52,30.62,94.76,1.38,4.0,3.0,5.0,1.0,33.5,337158.9324
550.0,1.0,3.0,528.13,65.22,8.0,51.73,14.0,97.32,0.98,1.0,9.0,7.0,1.0,8.0,320981.3981
1202.15,2.0,1.0,1127.32,49.62,6.0,59.25,17.17,96.15,1.68,6.0,7.0,6.0,1.0,15.0,112462.2096
1152.94,3.0,2.0,188.76,15.84,8.0,54.0,19.73,95.2,1.56,5.0,3.0,7.0,1.0,20.0,222016.1772
2218.22,1.0,4.0,526.81,11.18,9.0,15.21,3.96,99.9,1.52,5.0,8.0,6.0,1.0,10.0,442610.3171
1622.41,2.0,4.0,949.82,18.6,9.0,7.95,4.08,97.71,1.21,7.0,9.0,8.0,1.0,6.0,580959.1933
1038.58,1.0,2.0,280.62,45.26,3.0,10.67,36.82,96.08,2.31,3.0,2.0,3.0,1.0,31.0,40596.24365
928.36,3.0,3.0,749.46,3.08,8.0,5.25,3.78,95.27,1.22,5.0,10.0,9.0,1.0,33.5,372912.2109
706.56,2.0,4.0,647.51,4.16,7.0,103.24,6.27,99.9,2.25,3.0,4.0,8.0,1.0,13.0,33381.18772
1891.21,1.0,4.0,490.88,11.61,10.0,43.04,0.36,95.78,1.07,6.0,4.0,4.0,1.0,6.0,417635.8399
